,Report date,State,County,Facility,Facility type,Functionality,OPD,EPI,ANC,PNC,SBA,BEmONC,CEmONC,FP,PMTCT,ART,TB,BHI,Inpatient - Paeds,Inpatient - Adult,Basic surgery,MHPSS,SGBV,NCD,Nut. OTP,Nut. TSFP,Nut. SC,Laboratory,Disability,# Clinical staff,Essential meds stockout,FP stockout,Vaccine stockout,Ambulance access,# Inpatient beds - adult,# Inpatient beds - paeds,Electricity,Latrine,Dedicated mobile phone,EPI refrigerator,Protected water source
1054,31/12/2020,Upper Nile,Renk,Jalhak Phcu,PHCU,Highly Functional,Available,Available,Available,Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12,Recent Stockout,Recent Stockout,No Stockout,Available,5,1,Available,Available,Not Available,Available,Available
1055,31/12/2020,Upper Nile,Renk,Jerbana Phcc,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9,Recent Stockout,Recent Stockout,No Stockout,Available,2,0,Not Available,Available,Not Available,Available,Not Available
1056,01/01/2019,Upper Nile,Renk,Kilo 15 Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,01/01/2019,Upper Nile,Renk,Kilo 5 Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,01/01/2019,Upper Nile,Renk,Latbier Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,31/12/2020,Upper Nile,Renk,Molbuk Phcu,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11,Recent Stockout,Recent Stockout,No Stockout,Available,1,0,Not Available,Available,Not Available,Available,Not Available
1060,01/01/2019,Upper Nile,Renk,Omdulus Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,31/12/2020,Upper Nile,Renk,Renk Hospital,Hospital,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,83,Recent Stockout,Recent Stockout,No Stockout,Available,64,5,Available,Available,Available,Available,Available
1062,31/12/2020,Upper Nile,Renk,Romale Phcu,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9,Recent Stockout,Recent Stockout,No Stockout,Available,3,0,Available,Available,Available,Available,Available
1063,14/08/2019,Upper Nile,Renk,Wunthou Phcu,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,9,No Stockout,No Stockout,Recent Stockout,Not Available,0,0,Not Available,Available,Available,Available,Available
1064,31/12/2020,Unity,Rubkona,Bentiu State Hospital,Hospital,Moderate,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,87,,No Stockout,No Stockout,Available,2,1,Available,Available,,Available,Available
1065,01/01/2019,Unity,Rubkona,Biel Bar Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,01/01/2019,Unity,Rubkona,Bielchier Phcu,PHCU,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,31/12/2020,Unity,Rubkona,Kaljak Phcc,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Available,Not Available,Available,Available,Available,Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,13,,No Stockout,No Stockout,Available,2,1,Not Available,Available,,Available,Available
1068,31/12/2020,Unity,Rubkona,Nhialdiu Phcc,PHCC,Moderate,Available,,Available,,,,Not Available,Available,,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Available,,,,,,,,,,No Stockout,,,,,,,Available,
1069,01/01/2019,Unity,Rubkona,Nile Gangah Phcc,PHCC,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,31/12/2020,Unity,Rubkona,Rubkona Phcc,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Available,Not Available,Available,Available,Available,Available,Not Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,16,,No Stockout,No Stockout,Available,2,1,Available,Available,,Available,Available
